variable,group,n,positive,tp,fp,fn,tn,recall,precision,specificity,false_negative_rate,load_n,load_fraction,recall_ci_lower,recall_ci_upper,mean_score_positive,max_score_positive
wealth,Richer,1093,118,83,248,35,727,0.7033898305084746,0.25075528700906347,0.7456410256410256,0.2966101694915254,331,0.302836230558097,0.6123409919340632,0.7839339466316845,0.2779246742080764,0.9099275190786728
wealth,Richest,893,119,83,254,36,520,0.6974789915966386,0.24629080118694363,0.6718346253229974,0.3025210084033614,337,0.37737961926091823,0.6065449697969407,0.7783040986891099,0.24393235282480477,0.8568791233023806
region,Central,649,66,46,153,20,430,0.696969696969697,0.23115577889447236,0.7375643224699828,0.303030303030303,199,0.3066255778120185,0.5714834854226349,0.8041003533935258,0.24678791142189074,0.8011135866399897
region,Copperbelt,678,86,49,163,37,429,0.5697674418604651,0.23113207547169812,0.7246621621621622,0.43023255813953487,212,0.31268436578171094,0.4584768559193134,0.6761131389559774,0.1972826355083328,0.8568791233023806
region,Eastern,413,27,12,39,15,347,0.4444444444444444,0.23529411764705882,0.8989637305699482,0.5555555555555556,51,0.1234866828087167,0.25479880663173776,0.6467357696779945,0.20884624687914521,0.6620934595367843
region,Luapula,445,26,13,75,13,344,0.5,0.14772727272727273,0.8210023866348448,0.5,88,0.19775280898876405,0.29927217944159645,0.7007278205584035,0.1895533866709702,0.6247379897505945
region,Lusaka,548,76,57,144,19,328,0.75,0.2835820895522388,0.6949152542372882,0.25,201,0.36678832116788324,0.6374441094504911,0.8422816204349615,0.29124727997453137,0.8597209937296041
region,Muchinga,478,18,10,46,8,414,0.5555555555555556,0.17857142857142858,0.9,0.4444444444444444,56,0.11715481171548117,0.30757165899875616,0.7846984926127001,0.20585636598098672,0.7671518538967668
region,North Western,452,29,11,42,18,381,0.3793103448275862,0.20754716981132076,0.900709219858156,0.6206896551724138,53,0.1172566371681416,0.20686869948650707,0.5773953593355987,0.15099303173924203,0.608816808214419
region,Northern,182,12,5,17,7,153,0.4166666666666667,0.22727272727272727,0.9,0.5833333333333333,22,0.12087912087912088,0.15165222980843013,0.7233303143178942,0.1339318943637739,0.5282030732362472
region,Southern,637,54,41,159,13,424,0.7592592592592593,0.205,0.7272727272727273,0.2407407407407407,200,0.3139717425431711,0.6235947541659905,0.8651365787275387,0.29609866824302167,0.9099275190786728
region,Western,534,54,37,99,17,381,0.6851851851851852,0.27205882352941174,0.79375,0.31481481481481477,136,0.2546816479400749,0.5444760051271571,0.8047605889968085,0.21625114258943814,0.7113549852885853
education,Higher,321,31,21,87,10,203,0.6774193548387096,0.19444444444444445,0.7,0.32258064516129037,108,0.3364485981308411,0.48627017040724996,0.8331763625770405,0.18941557598084913,0.690585866404877
education,No education,294,20,11,44,9,230,0.55,0.2,0.8394160583941606,0.44999999999999996,55,0.1870748299319728,0.31527813304054847,0.7694221032240758,0.2687675844417702,0.8014175723386485
education,Primary,2004,170,110,361,60,1473,0.6470588235294118,0.23354564755838642,0.8031624863685932,0.3529411764705882,471,0.23502994011976047,0.5702002048931625,0.7186898058383262,0.24907145055238117,0.8738163625177484
education,Secondary,2397,227,139,445,88,1725,0.6123348017621145,0.238013698630137,0.7949308755760369,0.3876651982378855,584,0.24363788068418857,0.5456190453835975,0.6760757357008338,0.21905393256420838,0.9099275190786728
